org_name,site_name,latitude,longitude,elevation,measured_on,land covers:data source,land covers:measured at,land covers:muc code,land covers:muc details,land covers:muc description,land covers:field notes,land covers:snow ice,land covers:standing water,land covers:muddy,land covers:dry ground,land covers:leaves on trees,land covers:raining snowing,land covers:north classifications,land covers:east classifications,land covers:south classifications,land covers:west classifications,land covers:north photo url,land covers:north caption,land covers:north extra data,land covers:east photo url,land covers:east caption,land covers:east extra data,land covers:south photo url,land covers:south caption,land covers:south extra data,land covers:west photo url,land covers:west caption,land covers:west extra data,land covers:upward photo url,land covers:upward caption,land covers:upward extra data,land covers:downward photo url,land covers:downward caption,land covers:downward extra data
Australia Citizen Science,55HCU220089,-37.849989,144.976823,4,2018-10-18,GLOBE Observer,2018-10-18T01:02:00,,,,"Directions appear incorrect. ""North"" is actually south. And likewise for ""south"". Using a Samsung J5 running android 8.1.0",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/10/18/877567/original.jpg,,source:app; compassData.horizon:-17.98563745617639,https://data.globe.gov/system/photos/2018/10/18/877568/original.jpg,,source:app; compassData.horizon:-18.650894400253804,https://data.globe.gov/system/photos/2018/10/18/877569/original.jpg,,source:app; compassData.horizon:-18.327496146067972,https://data.globe.gov/system/photos/2018/10/18/877570/original.jpg,,source:app; compassData.horizon:-20.875045297777163,https://data.globe.gov/system/photos/2018/10/18/877571/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/18/877572/original.jpg,,source:camera
Australia Citizen Science,55HFA932793,-35.41098,149.127754,631.5,2018-10-13,GLOBE Observer,2018-10-13T02:40:00,56,,"Barren, Dirt/Other",Concerned about directions. E.g. nsew.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"80% MUC 56 [Barren, Dirt/Other]; 10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 20% MUC 94 [Urban, Other]","80% MUC 56 [Barren, Dirt/Other]; 10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]","90% MUC 56 [Barren, Dirt/Other]; 10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 10% MUC 94 [Urban, Other]","90% MUC 56 [Barren, Dirt/Other]; 10% MUC 11 (n) [Trees, Loosely Spaced, Evergreen - Needle Leaved]; 10% MUC 94 [Urban, Other]",https://data.globe.gov/system/photos/2018/10/13/872352/original.jpg,,source:app; compassData.horizon:-14.801627682977568,https://data.globe.gov/system/photos/2018/10/13/872353/original.jpg,,source:app; compassData.horizon:-15.565886661298705,https://data.globe.gov/system/photos/2018/10/13/872354/original.jpg,,source:app; compassData.horizon:-14.627552254610748,https://data.globe.gov/system/photos/2018/10/13/872355/original.jpg,,source:app; compassData.horizon:-16.408201637374077,https://data.globe.gov/system/photos/2018/10/13/872356/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/13/872358/original.jpg,,source:camera
Australia Citizen Science,55HFA957677,-35.515012,149.158061,846.3,2018-10-04,GLOBE Observer,2018-10-04T03:57:00,,,,Grazed by kangaroos  Region in a drought Today is over cast and showery,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/10/04/863568/original.jpg,,source:app; compassData.heading:356.40460205078125; compassData.horizon:-8.622447850404754,https://data.globe.gov/system/photos/2018/10/04/863569/original.jpg,,source:app; compassData.heading:84.69546508789062; compassData.horizon:-4.029843625541687,https://data.globe.gov/system/photos/2018/10/04/863570/original.jpg,,source:app; compassData.heading:176.16185760498047; compassData.horizon:-6.172635457628658,https://data.globe.gov/system/photos/2018/10/04/863571/original.jpg,,source:app; compassData.heading:272.7045135498047; compassData.horizon:-4.571766637360611,https://data.globe.gov/system/photos/2018/10/04/863572/original.jpg,,source:app; compassData.heading:326.92852783203125; compassData.horizon:84.30263373410376,https://data.globe.gov/system/photos/2018/10/04/863573/original.jpg,,source:app; compassData.heading:298.4506072998047; compassData.horizon:-87.69772863909606
Australia Citizen Science,55HFA961865,-35.345538,149.157944,579.4,2018-10-09,GLOBE Observer,2018-10-09T01:49:00,93,,"Urban, Roads and Parking",Staff car park Geoscience Australia.,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"90% MUC 93 [Urban, Roads and Parking]","100% MUC 93 [Urban, Roads and Parking]","90% MUC 93 [Urban, Roads and Parking]; 10% MUC 94 [Urban, Other]","90% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2018/10/09/868183/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/09/868184/original.jpg,,source:app; compassData.horizon:0,https://data.globe.gov/system/photos/2018/10/09/868185/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/09/868186/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/09/868187/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/10/09/868188/original.jpg,,source:camera
Australia Citizen Science,55HFV291656,-36.446158,148.440526,1154.6,2018-10-06,GLOBE Observer,2018-10-06T04:20:00,,,,5%cloud cover,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/10/06/865437/original.jpg,,source:app; compassData.heading:3.6845703125; compassData.horizon:1.3617393782220972,https://data.globe.gov/system/photos/2018/10/06/865444/original.jpg,,source:app; compassData.heading:94.20319557189941; compassData.horizon:-4.325887394908733,https://data.globe.gov/system/photos/2018/10/06/865445/original.jpg,,source:app; compassData.heading:180.57313537597656; compassData.horizon:-9.866275097341997,https://data.globe.gov/system/photos/2018/10/06/865446/original.jpg,,source:app; compassData.heading:270.8772277832031; compassData.horizon:-5.150627640621579,,,,,,
Australia Citizen Science,56JNQ018622,-27.463735,153.018218,25.7,2018-09-19,GLOBE Observer,2018-09-19T02:55:00,,,,Botanical gardens Springhill Brisbane qld Australia,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/19/846147/original.jpg,,source:app; compassData.heading:2.008453369140625; compassData.horizon:-1.2106323619280914,https://data.globe.gov/system/photos/2018/09/19/846148/original.jpg,,source:app; compassData.heading:95.39242553710938; compassData.horizon:3.0071335218211317,https://data.globe.gov/system/photos/2018/09/19/846149/original.jpg,,source:app; compassData.heading:176.88800048828125; compassData.horizon:0.25865519796316505,https://data.globe.gov/system/photos/2018/09/19/846151/original.jpg,,source:app; compassData.heading:271.62555181980133; compassData.horizon:0.8924279851747912,https://data.globe.gov/system/photos/2018/09/19/846152/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/19/846153/original.jpg,,source:camera
Australia Citizen Science,56JNQ018624,-27.461929,153.018217,38,2018-09-19,GLOBE Observer,2018-09-19T03:14:00,,,,(none),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/19/846154/original.jpg,,source:app; compassData.heading:358.3033447265625; compassData.horizon:-3.495243973120367,https://data.globe.gov/system/photos/2018/09/19/846155/original.jpg,,source:app; compassData.heading:91.12742912769318; compassData.horizon:-3.52778154553873,https://data.globe.gov/system/photos/2018/09/19/846156/original.jpg,,source:app; compassData.heading:174.33628845214844; compassData.horizon:-9.475131639121628,,,,https://data.globe.gov/system/photos/2018/09/19/846158/original.jpg,,source:app; compassData.heading:5.8780517578125; compassData.horizon:86.78037773101047,https://data.globe.gov/system/photos/2018/09/19/846159/original.jpg,,source:app; compassData.heading:134.12782669067383; compassData.horizon:-88.0390878767411
Austria Citizen Science,33TWN948989,47.836455,16.266865,262.7,2018-09-25,GLOBE Observer,2018-09-25T17:14:00,,,,(none),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/25/852591/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/25/852592/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/25/852593/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/25/852594/original.jpg,,source:camera,,,,,,
Austria Citizen Science,33UXP035497,48.29203,16.395392,164,2018-09-20,GLOBE Observer,2018-09-20T13:28:00,,,,Nasa logo Grund,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/20/847378/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847379/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847380/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847381/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847382/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847383/original.jpg,,source:camera
Austria Citizen Science,33UXP036497,48.292014,16.39674,164.2,2018-09-20,GLOBE Observer,2018-09-20T13:39:00,,,,Hasswellgasse,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/20/847384/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847385/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847386/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847387/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847388/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/20/847389/original.jpg,,source:camera
